filename,latitude,longitude,year_taken,day_taken,url
8564707991,38.549393,22.16414,2008,301,https://floodmap.modaps.eosdis.nasa.gov/getTile.php?location=020E040N&day=301&year=2008
474407409,24.876469,67.002868,2006,338,https://floodmap.modaps.eosdis.nasa.gov/getTile.php?location=060E030N&day=338&year=2006
5288729524,32.765833,-117.163834,2010,358,https://floodmap.modaps.eosdis.nasa.gov/getTile.php?location=120W040N&day=358&year=2010
9271464598,39.157666,-75.521,2013,193,https://floodmap.modaps.eosdis.nasa.gov/getTile.php?location=080W040N&day=193&year=2013
5693375794,37.220213,-88.452644,2011,125,https://floodmap.modaps.eosdis.nasa.gov/getTile.php?location=090W040N&day=125&year=2011
5760109328,45.601944,-122.664723,2011,145,https://floodmap.modaps.eosdis.nasa.gov/getTile.php?location=130W050N&day=145&year=2011
940184138,52.191166,-2.225691,2007,202,https://floodmap.modaps.eosdis.nasa.gov/getTile.php?location=010W060N&day=202&year=2007
4030312147,60.339522,-149.374237,2009,286,https://floodmap.modaps.eosdis.nasa.gov/getTile.php?location=150W070N&day=286&year=2009
6158660250,48.2325,-101.2715,2011,182,https://floodmap.modaps.eosdis.nasa.gov/getTile.php?location=110W050N&day=182&year=2011
96627027,48.999405,-123.035062,2006,36,https://floodmap.modaps.eosdis.nasa.gov/getTile.php?location=130W050N&day=36&year=2006
5704428047,34.751899,-92.130546,2011,129,https://floodmap.modaps.eosdis.nasa.gov/getTile.php?location=100W040N&day=129&year=2011
7005004869,30.83585,-96.947345,2012,81,https://floodmap.modaps.eosdis.nasa.gov/getTile.php?location=100W040N&day=81&year=2012
5004564071,45.778343,15.912666,2010,262,https://floodmap.modaps.eosdis.nasa.gov/getTile.php?location=010E050N&day=262&year=2010
3643814133,52.977265,-3.973102,2009,171,https://floodmap.modaps.eosdis.nasa.gov/getTile.php?location=010W060N&day=171&year=2009
2857616551,42.071404,-88.001518,2008,258,https://floodmap.modaps.eosdis.nasa.gov/getTile.php?location=090W050N&day=258&year=2008
5341274635,-27.48505,152.998309,2011,10,https://floodmap.modaps.eosdis.nasa.gov/getTile.php?location=150E020S&day=10&year=2011
632961343,39.097124,-83.019003,2005,8,https://floodmap.modaps.eosdis.nasa.gov/getTile.php?location=090W040N&day=8&year=2005
1175777923,35.599269,-95.998942,2007,231,https://floodmap.modaps.eosdis.nasa.gov/getTile.php?location=100W040N&day=231&year=2007
1755814917,23.71511,90.415763,2004,209,https://floodmap.modaps.eosdis.nasa.gov/getTile.php?location=090E030N&day=209&year=2004
3487057992,51.458722,-0.308002,2009,116,https://floodmap.modaps.eosdis.nasa.gov/getTile.php?location=000E060N&day=116&year=2009
8138710684,40.540221,-74.143381,2012,304,https://floodmap.modaps.eosdis.nasa.gov/getTile.php?location=080W050N&day=304&year=2012
3017045347,37.534238,126.98352,2005,247,https://floodmap.modaps.eosdis.nasa.gov/getTile.php?location=120E040N&day=247&year=2005
8418596761,51.585843,-2.098281,2012,330,https://floodmap.modaps.eosdis.nasa.gov/getTile.php?location=010W060N&day=330&year=2012
1437266191,10.840892,-4.732189,2007,244,https://floodmap.modaps.eosdis.nasa.gov/getTile.php?location=010W020N&day=244&year=2007
2747817234,53.39386,-6.384987,2008,222,https://floodmap.modaps.eosdis.nasa.gov/getTile.php?location=010W060N&day=222&year=2008
10625277256,34.949091,137.176921,2013,259,https://floodmap.modaps.eosdis.nasa.gov/getTile.php?location=130E040N&day=259&year=2013
753041280,53.930826,-2.018909,2007,188,https://floodmap.modaps.eosdis.nasa.gov/getTile.php?location=010W060N&day=188&year=2007
